date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
21:45:31	114/114	---MCZ	200	added ('OK')	text/plain	etag:%221412-1767942577;gz%22	https://iesits.com/robots.txt		(from )
21:45:32	236953/236953	---M-Z	200	added ('OK')	text/html	etag:%221432-1767953387;gz%22	https://iesits.com/	G:/ies/iesits.com/index.html	(from )
21:45:33	21912/21912	---M--	200	added ('OK')	application/font-woff	etag:%225598-66f542dc-21be5b65cc1d71d0;;;%22	https://iesits.com/wp-content/themes/salient/css/fonts/icomoon.woff?v=1.6	G:/ies/iesits.com/wp-content/themes/salient/css/fonts/icomoon3cc5.woff	(from https://iesits.com/)
21:45:33	112427/112427	---M-Z	200	added ('OK')	text/css	etag:%221b72b-66f07001-8dd4edcce8af2529;gz%22	https://iesits.com/wp-includes/css/dist/block-library/style.min.css?ver=6.6.4	G:/ies/iesits.com/wp-includes/css/dist/block-library/style.min369f.css	(from https://iesits.com/)
21:45:34	9990/9990	---MCZ	200	added ('OK')	application/rss+xml	etag:%22c76396cb2a99438252168eb05abe7be1%22	https://iesits.com/feed/	G:/ies/iesits.com/feed/index.html	(from https://iesits.com/)
21:45:34	826/826	---M-Z	200	added ('OK')	application/rss+xml	etag:%22c76396cb2a99438252168eb05abe7be1%22	https://iesits.com/comments/feed/	G:/ies/iesits.com/comments/feed/index.html	(from https://iesits.com/)
21:45:35	11256/11256	---M-Z	200	added ('OK')	text/css	etag:%222bf8-66f07001-7c8d1a6989945c2a;gz%22	https://iesits.com/wp-includes/js/mediaelement/mediaelementplayer-legacy.min.css?ver=4.2.17	G:/ies/iesits.com/wp-includes/js/mediaelement/mediaelementplayer-legacy.min1f61.css	(from https://iesits.com/)
21:45:35	4186/4186	---M-Z	200	added ('OK')	text/css	etag:%22105a-66f07001-3dc6f0ad331135e5;gz%22	https://iesits.com/wp-includes/js/mediaelement/wp-mediaelement.min.css?ver=6.6.4	G:/ies/iesits.com/wp-includes/js/mediaelement/wp-mediaelement.min369f.css	(from https://iesits.com/)
21:45:36	21942/21942	---M-Z	200	added ('OK')	text/css	etag:%2255b6-66f542de-79686d74e4fc212e;gz%22	https://iesits.com/wp-content/themes/salient/css/build/grid-system.css?ver=17.0.0	G:/ies/iesits.com/wp-content/themes/salient/css/build/grid-system1e28.css	(from https://iesits.com/)
21:45:36	10558/10558	---M-Z	200	added ('OK')	text/css	etag:%22293e-66f542de-72533bcf11cd590c;gz%22	https://iesits.com/wp-content/themes/salient/css/build/header/header-perma-transparent.css?ver=17.0.0	G:/ies/iesits.com/wp-content/themes/salient/css/build/header/header-perma-transparent1e28.css	(from https://iesits.com/)
